Company Name,Description,Company Website,YC Website,Industries,Full Description,Founders,LinkedIn Profiles
haipera,Convert Python scripts and notebooks to cloud deployments with AI,https://haipera.com,https://www.ycombinator.com/companies/haipera,"S24, B2B, Engineering, Product and Design",haipera,"Towaki Takikawa, Co-Founder / CEO, Allen Wang, Co-founder / CTO","https://linkedin.com/in/tovacinni, https://www.linkedin.com/in/allenhw"
Soma Lab,AI-based simulation medicine.,https://somalab.ai,https://www.ycombinator.com/companies/soma-lab,"S24, Healthcare",Soma Lab,"Tiko Bdoyan, Vrishank Saini","https://www.linkedin.com/in/tigran-bdoyan, https://www.linkedin.com/in/vrishanksaini/"
Freestyle,Build exceptional infrastructure with just JavaScript.,https://www.freestyle.sh,https://www.ycombinator.com/companies/freestyle,"S24, B2B, Infrastructure",Freestyle,"Benjamin Swerdlow, Jacob Zwang","https://www.linkedin.com/in/benswerdlow/, https://www.linkedin.com/in/jacobzwang/"
Arva AI,AI agents to automate financial compliance,https://www.arva-ai.com,https://www.ycombinator.com/companies/arva-ai,"S24, B2B",Arva AI,"Rhim Shah, CEO, Oli Wales, CTO","https://linkedin.com/in/rhim-shah, https://linkedin.com/in/oliverfwales"
Patched,Open-source framework to accelerate development tasks with AI,https://patched.codes,https://www.ycombinator.com/companies/patched,"S24, B2B, Productivity",Patched,"Rohan S, Co-Founder, Asankhaya Sharma, Co-Founder & Chief Technology Officer","https://linkedin.com/in/rohansood3107, https://www.linkedin.com/in/asankhaya/"
Mica AI,Turn Sales Calls Into Personalized Video Shorts For Prospects,https://usemica.com/,https://www.ycombinator.com/companies/mica-ai,"S24, B2B, Sales",Mica AI,"Achyuta Iyengar, CEO, Bharadwaj Swaminathan, Head of Eng, Jai Yarlagadda, CTO","https://www.linkedin.com/in/achyuta-iyengar/, https://www.linkedin.com/in/bharadwajswaminathan, https://www.linkedin.com/in/jai-yarlagadda-8a4733109/"
Formula Insight,Search complex spreadsheets using plain English,https://www.formulainsight.io/,https://www.ycombinator.com/companies/formula-insight,"S24, B2B",Formula Insight,"Will Tong, Stefan Raghavan","https://www.linkedin.com/in/will-tong-04046a162/, https://www.linkedin.com/in/stefan-raghavan-957204a1/"
Overlap,A new podcast app that uses AI to curate the best moments for you.,https://www.joinoverlap.com/,https://www.ycombinator.com/companies/overlap,"S24, Consumer, Content",Overlap,"Jonathan Baer, CEO, Buzz Rubenstein, Founder/COO, Casey Traina, CTO","https://www.linkedin.com/in/jonathan-baer-profile/, https://www.linkedin.com/in/eric-buzz%E2%80%9D-rubenstein-3573aab6?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app, https://linkedin.com/in/caseytraina"
Angler,We help e-commerce companies manage their product catalogs,https://www.anglercloud.com/,https://www.ycombinator.com/companies/angler,"S24, B2B, Retail",Angler,"Amay Aggarwal, Ray Iyer","https://www.linkedin.com/in/amayaggarwal/, https://www.linkedin.com/in/~iyer"
Henry,Generative AI for Commercial Real Estate Professionals,http://henry.ai,https://www.ycombinator.com/companies/henry-2,"S24, Real Estate and Construction",Henry,"Sammy Greenwall, Founder, CEO, Adam Pratt","https://www.linkedin.com/in/sammy-greenwall-387b3256/, https://www.linkedin.com/in/adam-pratt-73a4aa103/"
